Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Date de lancement,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%)
AG1_Imagestatique_Sophie_Digestion_V17,Shaker,Sophie Martin,Image statique,Digestion,Mon secret de productivité,Août 2025,Archivée,20/08/2025,655,32,1021.8,1.56,20.47,482571,10134,2.1
AG1_UGC_Marc_Énergie_V18,AG1 Powder,Marc Dupont,UGC,Énergie quotidienne,Ce que personne ne dit,Novembre 2025,En ligne,13/11/2025,4412,235,10853.52,2.46,18.77,158271,4748,3
AG1_UGC_Antoine_Digestion_V19,Vitamine D3+K2,Antoine Roux,UGC,Digestion,Ce qui a changé ma vie...,Octobre 2025,Arrêtée,17/10/2025,4140,136,18050.4,4.36,30.44,484297,11623,2.4
AG1_Imagestatique_Antoine_Immunité_V20,Bundle Complet,Antoine Roux,Image statique,Immunité,Ce qui a changé ma vie...,Juillet 2025,En ligne,08/07/2025,6390,132,27477,4.3,48.41,195371,7619,3.9
AG1_Motion-Vidéo_Julie_Routine_V21,Shaker,Julie Petit,Motion/Vidéo,Routine matinale,Ce qui a changé ma vie...,Juillet 2025,En pause,22/07/2025,5710,39,5481.6,0.96,146.41,162531,7151,4.4
AG1_Imagestatique_Léa_Digestion_V22,Bundle Complet,Léa Garcia,Image statique,Digestion,Pourquoi je ne peux plus m'en passer,Octobre 2025,Arrêtée,07/10/2025,5993,186,25889.76,4.32,32.22,285536,9994,3.5
AG1_Motion-Vidéo_Marc_Voyage_V23,AG1 Powder,Marc Dupont,Motion/Vidéo,Voyage et santé,Ce qui a changé ma vie...,Novembre 2025,En pause,10/11/2025,3952,156,15689.44,3.97,25.33,351501,8085,2.3
AG1_Imagestatique_Studio_Voyage_V24,Abonnement,Studio Interne,Image statique,Voyage et santé,Avant chaque entraînement...,Septembre 2025,Arrêtée,08/09/2025,6397,181,20598.34,3.22,35.34,456482,16890,3.7
AG1_Témoignage_Marc_Focus_V25,Abonnement,Marc Dupont,Témoignage,Focus mental,Ce qui a changé ma vie...,Septembre 2025,En pause,23/09/2025,4859,54,9766.59,2.01,89.98,113243,4303,3.8
AG1_UGC_Camille_Énergie_V26,Omega-3,Camille Dubois,UGC,Énergie quotidienne,3 mois plus tard...,Septembre 2025,En ligne,14/09/2025,7944,9,27486.24,3.46,882.67,21640,822,3.8
AG1_UGC_Pierre_Digestion_V27,AG1 Travel Packs,Pierre Moreau,UGC,Digestion,3 mois plus tard...,Septembre 2025,En pause,04/09/2025,5816,104,8607.68,1.48,55.92,492226,8368,1.7
AG1_Imagestatique_Julie_Digestion_V28,Abonnement,Julie Petit,Image statique,Digestion,La vérité sur AG1,Juillet 2025,Archivée,21/07/2025,2026,133,8549.72,4.22,15.23,360961,8663,2.4
AG1_Podcast_Léa_Performance_V29,Shaker,Léa Garcia,Podcast,Performance sportive,Ce que personne ne dit,Juillet 2025,En ligne,27/07/2025,3153,148,9900.42,3.14,21.3,476388,8575,1.8
AG1_Témoignage_Emma_Routine_V30,Shaker,Emma Laurent,Témoignage,Routine matinale,Mon avis honnête,Septembre 2025,En pause,18/09/2025,6516,164,7754.04,1.19,39.73,72107,2668,3.7
AG1_UGC_Emma_Bien-être_V31,Vitamine D3+K2,Emma Laurent,UGC,Bien-être global,3 mois plus tard...,Août 2025,En pause,09/08/2025,3902,98,14632.5,3.75,39.82,439971,7919,1.8
AG1_Podcast_Thomas_Digestion_V32,Omega-3,Thomas Bernard,Podcast,Digestion,La vérité sur AG1,Août 2025,En pause,01/08/2025,3542,142,9386.3,2.65,24.94,257627,8502,3.3
AG1_Motion-Vidéo_Léa_Immunité_V33,Omega-3,Léa Garcia,Motion/Vidéo,Immunité,Ce que personne ne dit,Septembre 2025,Archivée,17/09/2025,4763,212,10145.19,2.13,22.47,280852,9549,3.4
AG1_Témoignage_Camille_Immunité_V34,AG1 Powder,Camille Dubois,Témoignage,Immunité,Ce qui a changé ma vie...,Juillet 2025,En pause,03/07/2025,5092,211,13850.24,2.72,24.13,264363,7667,2.9
AG1_Motion-Vidéo_Pierre_Bien-être_V35,Shaker,Pierre Moreau,Motion/Vidéo,Bien-être global,Ce qui a changé ma vie...,Juillet 2025,Archivée,17/07/2025,5711,208,23586.43,4.13,27.46,315984,7900,2.5
AG1_UGC_Pierre_Voyage_V36,Bundle Complet,Pierre Moreau,UGC,Voyage et santé,Ce que personne ne dit,Novembre 2025,Archivée,09/11/2025,4393,67,15419.43,3.51,65.57,490755,10306,2.1
AG1_UGC_Antoine_Énergie_V37,Shaker,Antoine Roux,UGC,Énergie quotidienne,Mon avis honnête,Octobre 2025,Archivée,01/10/2025,2402,100,5260.38,2.19,24.02,321026,9952,3.1
AG1_Imagestatique_Antoine_Voyage_V38,Omega-3,Antoine Roux,Image statique,Voyage et santé,La vérité sur AG1,Novembre 2025,En ligne,14/11/2025,1006,80,3983.76,3.96,12.58,23540,494,2.1
AG1_Motion-Vidéo_Thomas_Énergie_V39,Shaker,Thomas Bernard,Motion/Vidéo,Énergie quotidienne,Mon secret de productivité,Novembre 2025,Archivée,06/11/2025,6788,50,15069.36,2.22,135.76,301681,8145,2.7
AG1_UGC_Camille_Énergie_V40,Abonnement,Camille Dubois,UGC,Énergie quotidienne,Mon secret de productivité,Octobre 2025,Archivée,09/10/2025,7645,36,32720.6,4.28,212.36,267451,9628,3.6
AG1_Témoignage_Emma_Voyage_V41,AG1 Travel Packs,Emma Laurent,Témoignage,Voyage et santé,La vérité sur AG1,Juillet 2025,Archivée,14/07/2025,2969,62,11371.27,3.83,47.89,488421,7326,1.5
AG1_Témoignage_Marc_Performance_V42,AG1 Powder,Marc Dupont,Témoignage,Performance sportive,Pourquoi je ne peux plus m'en passer,Août 2025,Arrêtée,16/08/2025,1848,207,8001.84,4.33,8.93,259402,8041,3.1
AG1_Imagestatique_Marc_Immunité_V43,Abonnement,Marc Dupont,Image statique,Immunité,Ce qui a changé ma vie...,Août 2025,En ligne,07/08/2025,6038,114,19140.46,3.17,52.96,363890,14192,3.9
AG1_Motion-Vidéo_Pierre_Digestion_V44,AG1 Travel Packs,Pierre Moreau,Motion/Vidéo,Digestion,La vérité sur AG1,Septembre 2025,Archivée,12/09/2025,7451,168,12368.66,1.66,44.35,202280,7282,3.6
AG1_Podcast_Sophie_Bien-être_V45,Omega-3,Sophie Martin,Podcast,Bien-être global,Avant chaque entraînement...,Août 2025,Arrêtée,22/08/2025,5907,145,21974.04,3.72,40.74,462305,18030,3.9
AG1_Imagestatique_Marc_Performance_V46,AG1 Travel Packs,Marc Dupont,Image statique,Performance sportive,3 mois plus tard...,Juillet 2025,Archivée,09/07/2025,4396,235,10022.88,2.28,18.71,152950,3518,2.3
AG1_Motion-Vidéo_Pierre_Énergie_V47,Omega-3,Pierre Moreau,Motion/Vidéo,Énergie quotidienne,Mon secret de productivité,Août 2025,En ligne,27/08/2025,5711,224,20845.15,3.65,25.5,291416,8742,3
AG1_UGC_Léa_Bien-être_V48,AG1 Travel Packs,Léa Garcia,UGC,Bien-être global,3 mois plus tard...,Août 2025,En pause,01/08/2025,6647,111,16949.85,2.55,59.88,235351,4707,2
AG1_Podcast_Pierre_Énergie_V49,Shaker,Pierre Moreau,Podcast,Énergie quotidienne,Ce qui a changé ma vie...,Août 2025,Archivée,03/08/2025,6497,227,12994,2,28.62,203493,4273,2.1
AG1_Motion-Vidéo_Julie_Immunité_V50,AG1 Powder,Julie Petit,Motion/Vidéo,Immunité,Pourquoi je ne peux plus m'en passer,Septembre 2025,Archivée,04/09/2025,571,81,1650.19,2.89,7.05,399903,6398,1.6
AG1_Motion-Vidéo_Emma_Routine_V51,AG1 Powder,Emma Laurent,Motion/Vidéo,Routine matinale,La vérité sur AG1,Juillet 2025,En ligne,26/07/2025,3370,55,12570.1,3.73,61.27,266295,7723,2.9
AG1_Podcast_Thomas_Bien-être_V52,Bundle Complet,Thomas Bernard,Podcast,Bien-être global,La vérité sur AG1,Octobre 2025,Archivée,17/10/2025,7107,26,12792.6,1.8,273.35,224335,5160,2.3
AG1_Podcast_Marc_Voyage_V53,Shaker,Marc Dupont,Podcast,Voyage et santé,Mon secret de productivité,Octobre 2025,En ligne,08/10/2025,6649,83,17819.32,2.68,80.11,438087,9638,2.2
AG1_Témoignage_Pierre_Énergie_V54,Bundle Complet,Pierre Moreau,Témoignage,Énergie quotidienne,Ce qui a changé ma vie...,Novembre 2025,Archivée,13/11/2025,6903,111,28854.54,4.18,62.19,199432,4388,2.2
AG1_Imagestatique_Marc_Digestion_V55,AG1 Travel Packs,Marc Dupont,Image statique,Digestion,Mon avis honnête,Novembre 2025,Arrêtée,03/11/2025,3107,57,8419.97,2.71,54.51,486239,10697,2.2
AG1_Motion-Vidéo_Antoine_Performance_V56,AG1 Powder,Antoine Roux,Motion/Vidéo,Performance sportive,La vérité sur AG1,Septembre 2025,En ligne,19/09/2025,7989,229,34752.15,4.35,34.89,93844,3660,3.9
AG1_Témoignage_Emma_Focus_V57,Shaker,Emma Laurent,Témoignage,Focus mental,Avant chaque entraînement...,Novembre 2025,Arrêtée,26/11/2025,7844,179,26434.28,3.37,43.82,40124,1444,3.6
AG1_Imagestatique_Studio_Immunité_V58,Omega-3,Studio Interne,Image statique,Immunité,Mon secret de productivité,Octobre 2025,En ligne,02/10/2025,6317,166,27099.93,4.29,38.05,64318,1994,3.1
AG1_Motion-Vidéo_Julie_Énergie_V59,Bundle Complet,Julie Petit,Motion/Vidéo,Énergie quotidienne,3 mois plus tard...,Juillet 2025,En ligne,20/07/2025,2790,60,5719.5,2.05,46.5,489017,19561,4
AG1_Podcast_Studio_Routine_V60,AG1 Travel Packs,Studio Interne,Podcast,Routine matinale,3 mois plus tard...,Août 2025,Arrêtée,26/08/2025,6397,69,6908.76,1.08,92.71,353275,9892,2.8
AG1_Motion-Vidéo_Studio_Routine_V61,AG1 Powder,Studio Interne,Motion/Vidéo,Routine matinale,Ce qui a changé ma vie...,Octobre 2025,En ligne,04/10/2025,1467,38,3784.86,2.58,38.61,492841,11335,2.3
AG1_UGC_Marc_Voyage_V62,Vitamine D3+K2,Marc Dupont,UGC,Voyage et santé,Avant chaque entraînement...,Novembre 2025,Archivée,17/11/2025,5938,124,8313.2,1.4,47.89,393755,15356,3.9
AG1_Motion-Vidéo_Léa_Voyage_V63,Vitamine D3+K2,Léa Garcia,Motion/Vidéo,Voyage et santé,Pourquoi je ne peux plus m'en passer,Novembre 2025,En pause,16/11/2025,2288,17,8831.68,3.86,134.59,113210,2377,2.1
AG1_Podcast_Antoine_Routine_V64,Shaker,Antoine Roux,Podcast,Routine matinale,Ce que personne ne dit,Octobre 2025,Archivée,20/10/2025,7078,48,7644.24,1.08,147.46,89208,3658,4.1
AG1_Imagestatique_Thomas_Énergie_V65,Abonnement,Thomas Bernard,Image statique,Énergie quotidienne,Mon avis honnête,Juillet 2025,En pause,19/07/2025,2721,5,10584.69,3.89,544.2,290379,9873,3.4
AG1_Podcast_Pierre_Immunité_V66,AG1 Travel Packs,Pierre Moreau,Podcast,Immunité,Pourquoi je ne peux plus m'en passer,Juillet 2025,Archivée,13/07/2025,6955,33,8206.9,1.18,210.76,114778,3214,2.8
AG1_Imagestatique_Studio_Routine_V67,Abonnement,Studio Interne,Image statique,Routine matinale,Avant chaque entraînement...,Août 2025,Arrêtée,17/08/2025,3373,157,3238.08,0.96,21.48,439994,12320,2.8
AG1_Podcast_Camille_Voyage_V68,AG1 Travel Packs,Camille Dubois,Podcast,Voyage et santé,Pourquoi je ne peux plus m'en passer,Juillet 2025,Arrêtée,13/07/2025,2434,70,5087.06,2.09,34.77,247864,5453,2.2
AG1_Podcast_Marc_Routine_V69,Bundle Complet,Marc Dupont,Podcast,Routine matinale,Pourquoi je ne peux plus m'en passer,Août 2025,En ligne,19/08/2025,7543,11,33264.63,4.41,685.73,307366,7377,2.4
AG1_Témoignage_Léa_Routine_V70,AG1 Travel Packs,Léa Garcia,Témoignage,Routine matinale,Mon secret de productivité,Septembre 2025,Archivée,25/09/2025,5279,190,7707.34,1.46,27.78,283943,9086,3.2
AG1_UGC_Marc_Routine_V71,Vitamine D3+K2,Marc Dupont,UGC,Routine matinale,3 mois plus tard...,Juillet 2025,Arrêtée,09/07/2025,4846,67,11581.94,2.39,72.33,54867,1975,3.6
AG1_UGC_Pierre_Immunité_V72,Bundle Complet,Pierre Moreau,UGC,Immunité,Ce que personne ne dit,Octobre 2025,En pause,17/10/2025,5781,225,18267.96,3.16,25.69,404345,6470,1.6
AG1_Imagestatique_Sophie_Immunité_V73,Vitamine D3+K2,Sophie Martin,Image statique,Immunité,Ce que personne ne dit,Juillet 2025,Arrêtée,07/07/2025,925,238,3339.25,3.61,3.89,330009,8250,2.5
AG1_Témoignage_Sophie_Focus_V74,Abonnement,Sophie Martin,Témoignage,Focus mental,Mon avis honnête,Octobre 2025,En ligne,25/10/2025,4369,84,6291.36,1.44,52.01,387208,6970,1.8
AG1_Imagestatique_Julie_Énergie_V75,AG1 Powder,Julie Petit,Image statique,Énergie quotidienne,Mon secret de productivité,Octobre 2025,En ligne,03/10/2025,5742,22,9646.56,1.68,261,258955,10358,4
AG1_Podcast_Thomas_Focus_V76,Abonnement,Thomas Bernard,Podcast,Focus mental,Ce que personne ne dit,Novembre 2025,Archivée,14/11/2025,4956,191,8920.8,1.8,25.95,124162,2980,2.4
AG1_Témoignage_Emma_Routine_V77,Bundle Complet,Emma Laurent,Témoignage,Routine matinale,Ce qui a changé ma vie...,Août 2025,Arrêtée,22/08/2025,3075,205,10239.75,3.33,15,235612,7775,3.3
AG1_Motion-Vidéo_Sophie_Immunité_V78,Shaker,Sophie Martin,Motion/Vidéo,Immunité,Mon avis honnête,Août 2025,En ligne,02/08/2025,6086,230,7424.92,1.22,26.46,144608,2169,1.5
AG1_Podcast_Pierre_Routine_V79,Vitamine D3+K2,Pierre Moreau,Podcast,Routine matinale,3 mois plus tard...,Septembre 2025,En pause,08/09/2025,3756,13,5671.56,1.51,288.92,455229,9105,2
AG1_Podcast_Pierre_Voyage_V80,Shaker,Pierre Moreau,Podcast,Voyage et santé,Pourquoi je ne peux plus m'en passer,Août 2025,En pause,10/08/2025,1969,56,1811.48,0.92,35.16,479250,13898,2.9
AG1_UGC_Studio_Digestion_V81,Vitamine D3+K2,Studio Interne,UGC,Digestion,Mon avis honnête,Octobre 2025,En ligne,22/10/2025,7425,177,14404.5,1.94,41.95,392571,13740,3.5
AG1_UGC_Studio_Focus_V82,Abonnement,Studio Interne,UGC,Focus mental,Ce qui a changé ma vie...,Août 2025,En pause,23/08/2025,2313,124,5551.2,2.4,18.65,394886,12241,3.1
AG1_Podcast_Studio_Bien-être_V83,Shaker,Studio Interne,Podcast,Bien-être global,3 mois plus tard...,Novembre 2025,En pause,22/11/2025,4021,75,12786.78,3.18,53.61,224423,5835,2.6
AG1_Imagestatique_Camille_Voyage_V84,Bundle Complet,Camille Dubois,Image statique,Voyage et santé,Ce que personne ne dit,Août 2025,Arrêtée,26/08/2025,1713,32,5241.78,3.06,53.53,337221,14163,4.2
AG1_UGC_Antoine_Énergie_V85,AG1 Travel Packs,Antoine Roux,UGC,Énergie quotidienne,Ce que personne ne dit,Novembre 2025,Arrêtée,26/11/2025,6190,234,18508.1,2.99,26.45,194573,8561,4.4
AG1_Imagestatique_Julie_Énergie_V86,Omega-3,Julie Petit,Image statique,Énergie quotidienne,Mon avis honnête,Octobre 2025,Arrêtée,08/10/2025,4310,161,12671.4,2.94,26.77,210958,5063,2.4
AG1_Imagestatique_Léa_Focus_V87,Vitamine D3+K2,Léa Garcia,Image statique,Focus mental,Avant chaque entraînement...,Août 2025,En ligne,16/08/2025,3027,218,3783.75,1.25,13.89,263445,9747,3.7
AG1_Témoignage_Sophie_Digestion_V88,Abonnement,Sophie Martin,Témoignage,Digestion,Avant chaque entraînement...,Septembre 2025,Archivée,26/09/2025,2921,54,10369.55,3.55,54.09,200600,6018,3.00
AG1_Témoignage_Studio_Performance_V89,AG1 Travel Packs,Studio Interne,Témoignage,Performance sportive,Mon secret de productivité,Octobre 2025,Arrêtée,10/10/2025,3650,95,14016,3.84,38.42,121631,2311,1.9
AG1_Motion-Vidéo_Thomas_Digestion_V90,Vitamine D3+K2,Thomas Bernard,Motion/Vidéo,Digestion,Ce que personne ne dit,Août 2025,En ligne,15/08/2025,3279,135,11246.97,3.43,24.29,418489,10044,2.4
AG1_UGC_Emma_Digestion_V91,Shaker,Emma Laurent,UGC,Digestion,Avant chaque entraînement...,Août 2025,En ligne,13/08/2025,2373,10,6217.26,2.62,237.3,291467,8161,2.8
AG1_Imagestatique_Marc_Énergie_V92,AG1 Powder,Marc Dupont,Image statique,Énergie quotidienne,Mon secret de productivité,Septembre 2025,Arrêtée,07/09/2025,2646,144,4683.42,1.77,18.38,287077,8325,2.9
AG1_Motion-Vidéo_Emma_Performance_V93,Vitamine D3+K2,Emma Laurent,Motion/Vidéo,Performance sportive,La vérité sur AG1,Août 2025,En ligne,01/08/2025,1559,231,2120.24,1.36,6.75,108055,2053,1.9
AG1_UGC_Marc_Focus_V94,Vitamine D3+K2,Marc Dupont,UGC,Focus mental,Ce que personne ne dit,Juillet 2025,En pause,09/07/2025,2550,232,7267.5,2.85,10.99,176408,4234,2.4
AG1_Motion-Vidéo_Thomas_Énergie_V95,Bundle Complet,Thomas Bernard,Motion/Vidéo,Énergie quotidienne,Mon avis honnête,Octobre 2025,Archivée,05/10/2025,2206,248,4698.78,2.13,8.9,282457,6779,2.4
AG1_UGC_Sophie_Digestion_V96,Abonnement,Sophie Martin,UGC,Digestion,Ce que personne ne dit,Septembre 2025,Archivée,19/09/2025,1239,109,3778.95,3.05,11.37,284096,9659,3.4
AG1_Imagestatique_Marc_Voyage_V97,Omega-3,Marc Dupont,Image statique,Voyage et santé,Pourquoi je ne peux plus m'en passer,Novembre 2025,Archivée,08/11/2025,6333,27,16719.12,2.64,234.56,312157,11238,3.6
AG1_Motion-Vidéo_Antoine_Bien-être_V98,Omega-3,Antoine Roux,Motion/Vidéo,Bien-être global,Mon avis honnête,Août 2025,Archivée,08/08/2025,5579,42,9205.35,1.65,132.83,394770,6316,1.6
AG1_Imagestatique_Thomas_Focus_V99,Vitamine D3+K2,Thomas Bernard,Image statique,Focus mental,Ce que personne ne dit,Août 2025,En pause,06/08/2025,1103,27,1367.72,1.24,40.85,342411,6506,1.9
AG1_Témoignage_Antoine_Bien-être_V100,AG1 Travel Packs,Antoine Roux,Témoignage,Bien-être global,Ce que personne ne dit,Novembre 2025,Archivée,13/11/2025,2272,158,5884.48,2.59,14.38,426023,14059,3.3
AG1_Imagestatique_Studio_Performance_V101,AG1 Powder,Studio Interne,Image statique,Performance sportive,Avant chaque entraînement...,Août 2025,En pause,03/08/2025,4025,131,7567,1.88,30.73,36639,1136,3.1
AG1_UGC_Marc_Énergie_V102,Abonnement,Marc Dupont,UGC,Énergie quotidienne,Mon secret de productivité,Novembre 2025,Arrêtée,24/11/2025,4109,158,5300.61,1.29,26.01,148996,4321,2.9
AG1_Témoignage_Léa_Bien-être_V103,Omega-3,Léa Garcia,Témoignage,Bien-être global,Pourquoi je ne peux plus m'en passer,Juillet 2025,En pause,04/07/2025,1326,84,3142.62,2.37,15.79,25147,754,3
AG1_Podcast_Sophie_Digestion_V104,AG1 Powder,Sophie Martin,Podcast,Digestion,Pourquoi je ne peux plus m'en passer,Septembre 2025,Arrêtée,25/09/2025,788,247,2655.56,3.37,3.19,212684,7444,3.5
AG1_Témoignage_Thomas_Énergie_V105,Vitamine D3+K2,Thomas Bernard,Témoignage,Énergie quotidienne,Mon avis honnête,Octobre 2025,En pause,15/10/2025,2826,99,12349.62,4.37,28.55,304196,12168,4
AG1_Motion-Vidéo_Camille_Voyage_V106,AG1 Travel Packs,Camille Dubois,Motion/Vidéo,Voyage et santé,Mon avis honnête,Septembre 2025,Arrêtée,11/09/2025,7923,139,11171.43,1.41,57,307443,6149,2
AG1_Imagestatique_Julie_Bien-être_V107,Omega-3,Julie Petit,Image statique,Bien-être global,Ce que personne ne dit,Août 2025,En ligne,11/08/2025,4798,229,7532.86,1.57,20.95,111721,3240,2.9
AG1_UGC_Julie_Routine_V108,Bundle Complet,Julie Petit,UGC,Routine matinale,Mon avis honnête,Juillet 2025,En ligne,26/07/2025,6125,93,18742.5,3.06,65.86,222362,8894,4
AG1_Imagestatique_Léa_Énergie_V109,Shaker,Léa Garcia,Image statique,Énergie quotidienne,Mon avis honnête,Août 2025,Arrêtée,10/08/2025,7267,172,7267,1,42.25,162288,4706,2.9
AG1_Imagestatique_Marc_Immunité_V110,Shaker,Marc Dupont,Image statique,Immunité,Mon secret de productivité,Août 2025,En ligne,15/08/2025,1233,157,2453.67,1.99,7.85,122259,2078,1.7
AG1_Imagestatique_Antoine_Bien-être_V111,Shaker,Antoine Roux,Image statique,Bien-être global,Ce que personne ne dit,Juillet 2025,Archivée,16/07/2025,6046,189,11245.56,1.86,31.99,178853,2862,1.6
AG1_Motion-Vidéo_Julie_Énergie_V112,Vitamine D3+K2,Julie Petit,Motion/Vidéo,Énergie quotidienne,Mon secret de productivité,Août 2025,En pause,15/08/2025,5713,143,15996.4,2.8,39.95,198418,7937,4
AG1_Motion-Vidéo_Léa_Immunité_V113,Bundle Complet,Léa Garcia,Motion/Vidéo,Immunité,Ce qui a changé ma vie...,Juillet 2025,Archivée,07/07/2025,6048,171,12640.32,2.09,35.37,492223,21166,4.3
AG1_UGC_Marc_Performance_V114,Bundle Complet,Marc Dupont,UGC,Performance sportive,Avant chaque entraînement...,Novembre 2025,Archivée,01/11/2025,6343,53,18838.71,2.97,119.68,357723,7512,2.1
AG1_Témoignage_Léa_Routine_V115,Omega-3,Léa Garcia,Témoignage,Routine matinale,Mon secret de productivité,Août 2025,Archivée,26/08/2025,2837,220,6638.58,2.34,12.9,452758,12224,2.7
AG1_Podcast_Léa_Focus_V116,Bundle Complet,Léa Garcia,Podcast,Focus mental,Ce que personne ne dit,Octobre 2025,Archivée,22/10/2025,4996,70,6994.4,1.4,71.37,47280,946,2
AG1_Témoignage_Antoine_Performance_V117,Shaker,Antoine Roux,Témoignage,Performance sportive,Ce que personne ne dit,Octobre 2025,En ligne,21/10/2025,2928,133,11770.56,4.02,22.02,45434,1227,2.7
AG1_Imagestatique_Sophie_Immunité_V118,Vitamine D3+K2,Sophie Martin,Image statique,Immunité,Ce que personne ne dit,Août 2025,Arrêtée,20/08/2025,4893,187,17761.59,3.63,26.17,288767,6642,2.3
AG1_Imagestatique_Julie_Immunité_V119,Shaker,Julie Petit,Image statique,Immunité,Mon secret de productivité,Octobre 2025,Arrêtée,06/10/2025,2153,222,9107.19,4.23,9.7,126489,1897,1.5
AG1_Imagestatique_Thomas_Immunité_V120,Vitamine D3+K2,Thomas Bernard,Image statique,Immunité,3 mois plus tard...,Septembre 2025,Arrêtée,17/09/2025,2642,241,5046.22,1.91,10.96,322001,8694,2.7
AG1_UGC_Léa_Immunité_V121,Bundle Complet,Léa Garcia,UGC,Immunité,Avant chaque entraînement...,Juillet 2025,Arrêtée,11/07/2025,6200,240,12276,1.98,25.83,349848,11545,3.3
AG1_Podcast_Antoine_Énergie_V122,Shaker,Antoine Roux,Podcast,Énergie quotidienne,La vérité sur AG1,Août 2025,Archivée,10/08/2025,7013,117,11571.45,1.65,59.94,235055,6582,2.8
AG1_Témoignage_Emma_Focus_V123,Abonnement,Emma Laurent,Témoignage,Focus mental,Ce que personne ne dit,Octobre 2025,En pause,03/10/2025,7489,155,7863.45,1.05,48.32,436978,6555,1.5
AG1_Imagestatique_Julie_Digestion_V124,Omega-3,Julie Petit,Image statique,Digestion,3 mois plus tard...,Juillet 2025,Arrêtée,14/07/2025,773,131,641.59,0.83,5.9,251695,11075,4.4
AG1_Témoignage_Julie_Voyage_V125,Bundle Complet,Julie Petit,Témoignage,Voyage et santé,Avant chaque entraînement...,Septembre 2025,En ligne,10/09/2025,1545,85,1977.6,1.28,18.18,57113,1028,1.8
